Poor HuJie!
3 2
5 4
1 1
6 1
8900 3074
10000 5000
6516 5846
5437 5139
8999 1950
4879 1339
5511 1180
3279 2656
8065 1534
7646 4405
6288 1110
2013 1997
5616 3907
4556 1071
6875 4228
9069 8260
8980 1768
6271 5630
9440 8211
5374 4729
5975 3566
9942 5295
9202 9163
1614 827
9814 2667
7414 2823
3556 3525
8814 7947
1688 581
5127 1695
4768 4349
8549 6757
8155 2315
5523 414
4476 4113
7510 4142
7318 5464
6321 2243
8914 2075
8054 7429
2655 1065
9849 4859
7584 3710
9841 1354
5433 2390
9525 3253
2823 2664
4371 1697
8100 237
471 334
7369 780
7764 7375
6047 1803
7221 6007
7160 4747
3444 1749
7342 6168
9933 500
8060 683
4169 1898
9286 607
1977 548
7330 5871
7808 1121
6517 6092
5229 3569
2227 1036
941 611
8938 2824
4293 2579
5045 4406
4626 2226
9306 6046
9842 3465
3241 2657
8330 318
7322 1928
7476 6779
8985 1691
4318 729
3511 2005
9633 1367
4819 1137
7835 1986
6925 2340
8702 2415
9895 3787
9000 8968
2223 1478
8146 5603
8844 680
6467 375
9804 6840
7705 5665
9761 9301
